node_id,is_ad,ego_original_size,ego_was_subsampled,H0_invalid_count,H0_count,H0_total_persistence,H0_max_persistence,H0_mean_persistence,H0_median_persistence,H0_std_persistence,H0_entropy,H0_infinite_count,H1_invalid_count,H1_count,H1_total_persistence,H1_max_persistence,H1_mean_persistence,H1_median_persistence,H1_std_persistence,H1_entropy,H1_infinite_count,H2_invalid_count,H2_count,H2_total_persistence,H2_max_persistence,H2_mean_persistence,H2_median_persistence,H2_std_persistence,H2_entropy,H2_infinite_count,degree,clustering_coefficient,ego_size_1hop,ego_edges_1hop,ego_density_1hop,ego_size_2hop,ego_edges_2hop,ego_density_2hop
203,1,7820,True,0,300,299.0,1.0,0.9966666666666667,1.0,0.057638721552635275,5.700443543490686,0,0,34,34.0,1.0,1.0,1.0,0.0,3.5263605212161617,0,0,8,8.0,1.0,1.0,1.0,0.0,2.0794415408798357,0,63,0.05683563748079877,64,174,0.08630952380952381,7820,85140,0.002784874800023158
8398,1,1755,True,0,300,299.0,1.0,0.9966666666666667,1.0,0.057638721552635275,5.700443543490686,0,0,81,81.0,1.0,1.0,1.0,0.0,4.394449146572438,0,0,22,22.0,1.0,1.0,1.0,0.0,3.0910424511583154,0,24,0.028985507246376812,25,32,0.10666666666666667,1755,27142,0.017634580462402582
207,1,14220,True,0,300,299.0,1.0,0.9966666666666667,1.0,0.057638721552635275,5.700443543490686,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,594,0.03395392940080967,595,6574,0.03720114308349602,14220,115301,0.0011404977136334983
57551,1,4312,True,0,300,299.0,1.0,0.9966666666666667,1.0,0.057638721552635275,5.700443543490686,0,0,33,33.0,1.0,1.0,1.0,0.0,3.49650755816648,0,0,39,39.0,1.0,1.0,1.0,0.0,3.6635616422296478,0,59,0.04792518994739918,60,141,0.07966101694915254,4312,62931,0.00677076676181955
4311,1,7282,True,0,300,299.0,1.0,0.9966666666666667,1.0,0.057638721552635275,5.700443543490686,0,0,107,107.0,1.0,1.0,1.0,0.0,4.672828823761908,0,0,127,127.0,1.0,1.0,1.0,0.0,4.844187073758594,0,136,0.025925925925925925,137,374,0.040145985401459854,7282,85087,0.0032096043620472347
4313,1,1971,True,0,300,299.0,1.0,0.9966666666666667,1.0,0.057638721552635275,5.700443543490686,0,0,112,112.0,1.0,1.0,1.0,0.0,4.718498860095095,0,0,68,68.0,1.0,1.0,1.0,0.0,4.219507698376108,0,66,0.017715617715617717,67,104,0.04703753957485301,1971,34037,0.017531877193931292
4314,1,4315,True,0,300,299.0,1.0,0.9966666666666667,1.0,0.057638721552635275,5.700443543490686,0,0,65,65.0,1.0,1.0,1.0,0.0,4.174387263395637,0,0,21,21.0,1.0,1.0,1.0,0.0,3.044522435623422,0,25,0.03666666666666667,26,36,0.11076923076923077,4315,50735,0.005451006746742262
4318,1,973,True,0,300,299.0,1.0,0.9966666666666667,1.0,0.057638721552635275,5.700443543490686,0,0,92,92.0,1.0,1.0,1.0,0.0,4.521788567849041,0,0,17,17.0,1.0,1.0,1.0,0.0,2.833213342356216,0,45,0.029292929292929294,46,74,0.07149758454106281,973,14094,0.029804727646454265
2280,1,5083,True,0,300,299.0,1.0,0.9966666666666667,1.0,0.057638721552635275,5.700443543490686,0,0,126,126.0,1.0,1.0,1.0,0.0,4.83628189435148,0,0,102,102.0,1.0,1.0,1.0,0.0,4.624972803084271,0,114,0.02608290638099674,115,282,0.043020594965675056,5083,64348,0.0049820751983039825
6376,1,842,True,0,300,299.0,1.0,0.9966666666666667,1.0,0.057638721552635275,5.700443543490686,0,0,174,174.0,1.0,1.0,1.0,0.0,5.1590552818145285,0,0,101,101.0,1.0,1.0,1.0,0.0,4.615120506741261,0,70,0.0033126293995859213,71,78,0.031388329979879274,842,12983,0.036668822604014564
2288,1,12113,True,0,300,299.0,1.0,0.9966666666666667,1.0,0.057638721552635275,5.700443543490686,0,0,6,6.0,1.0,1.0,1.0,0.0,1.7917594686280547,0,0,4,4.0,1.0,1.0,1.0,0.0,1.3862943607198905,0,288,0.052627758420441345,289,2463,0.05918396770472895,12113,108601,0.0014804585093190596
2289,1,11068,True,0,300,299.0,1.0,0.9966666666666667,1.0,0.057638721552635275,5.700443543490686,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,420,0.027741788839640867,421,2861,0.03236059269313426,11068,105838,0.0017281146810590121
240,1,4620,True,0,300,299.0,1.0,0.9966666666666667,1.0,0.057638721552635275,5.700443543490686,0,0,88,88.0,1.0,1.0,1.0,0.0,4.477336805678206,0,0,42,42.0,1.0,1.0,1.0,0.0,3.7376696140833676,0,74,0.008885597926693817,75,98,0.035315315315315315,4620,52306,0.0049022061145897475
6387,1,941,True,0,300,299.0,1.0,0.9966666666666667,1.0,0.057638721552635275,5.700443543490686,0,0,68,68.0,1.0,1.0,1.0,0.0,4.219507698376108,0,0,55,55.0,1.0,1.0,1.0,0.0,4.007333179732471,0,31,0.03870967741935484,32,49,0.09879032258064516,941,15175,0.03431161959888756
246,1,153,False,0,153,152.0,1.0,0.9934640522875817,1.0,0.08058057520220885,5.023880505646275,0,0,49,49.0,1.0,1.0,1.0,0.0,3.891820293210626,0,0,39,39.0,1.0,1.0,1.0,0.0,3.6635616422296478,0,12,0.0,13,12,0.15384615384615385,153,1803,0.15505675954592363
51451,1,866,True,0,300,299.0,1.0,0.9966666666666667,1.0,0.057638721552635275,5.700443543490686,0,0,69,69.0,1.0,1.0,1.0,0.0,4.234106497697257,0,0,115,115.0,1.0,1.0,1.0,0.0,4.744932116863252,0,31,0.03655913978494624,32,48,0.0967741935483871,866,16207,0.043271169018409
8445,1,8174,True,0,300,299.0,1.0,0.9966666666666667,1.0,0.057638721552635275,5.700443543490686,0,0,55,55.0,1.0,1.0,1.0,0.0,4.007333179732471,0,0,77,77.0,1.0,1.0,1.0,0.0,4.343805414153685,0,169,0.03599605522682446,170,680,0.047337278106508875,8174,92014,0.0027546585490049996
10494,1,6516,True,0,300,299.0,1.0,0.9966666666666667,1.0,0.057638721552635275,5.700443543490686,0,0,86,86.0,1.0,1.0,1.0,0.0,4.454347287653507,0,0,51,51.0,1.0,1.0,1.0,0.0,3.9318256276243253,0,108,0.0396330910349602,109,337,0.057254502208630646,6516,79478,0.003744393044902282
