node_id,degree,ego_original_size,ego_actual_size,ego_edges,was_subsampled,n_simplices,time_seconds,H0_with,H1_with,H2_with,H3_with,H0_without,H1_without,H2_without,H3_without,delta_H0,delta_H1,delta_H2,delta_H3,is_ad,ad_category
10787,197,14066,300,5916,True,731559,3.5265653133392334,1,24,60,60,1,37,91,82,0,-13,-31,-22,True,Amyloid
55851,79,7272,300,6281,True,655172,2.473684072494507,1,120,145,136,1,113,128,136,0,7,17,0,True,Amyloid
8754,115,11172,300,2696,True,32038,2.4615108966827393,1,75,64,21,1,120,58,17,0,-45,6,4,True,Amyloid
23093,48,8513,300,1852,True,9057,1.8534889221191406,1,145,122,2,1,137,115,2,0,8,7,0,True,Tau
10808,442,15843,300,9106,True,3887427,8.387124061584473,1,0,0,0,1,7,39,71,0,-7,-39,-71,True,Tau
6714,533,15948,300,4020,True,135408,3.0559749603271484,1,0,0,0,1,84,136,97,0,-84,-136,-97,True,Tau
573,473,15222,300,5678,True,857076,4.145193099975586,1,0,0,0,1,38,73,88,0,-38,-73,-88,True,Tau
4671,10,3003,300,1926,True,12287,0.42904090881347656,1,19,14,6,1,13,14,6,0,6,0,0,True,Amyloid
6721,131,12039,300,3372,True,97993,2.599059820175171,1,34,29,26,1,89,26,17,0,-55,3,9,True,Tau
6733,716,16017,300,4676,True,729834,3.7754788398742676,1,0,0,0,1,51,53,41,0,-51,-53,-41,True,Tau
590,62,7553,300,3687,True,287276,2.086880922317505,1,127,50,19,1,126,49,19,0,1,1,0,True,Amyloid
150094,60,10693,300,3758,True,97976,2.355808973312378,1,49,94,72,1,47,84,72,0,2,10,0,True,Tau
2641,25,2950,300,4787,True,661590,1.3391478061676025,1,63,68,33,1,53,68,33,0,10,0,0,True,Tau
598,189,13098,300,3641,True,80599,2.7849650382995605,1,61,144,120,1,100,169,87,0,-39,-25,33,True,Amyloid
2648,174,11347,300,5726,True,394929,3.032741069793701,1,36,119,119,1,42,116,104,0,-6,3,15,True,Tau
219736,14,3353,300,7934,True,3837086,6.535114049911499,1,13,8,1,1,4,8,1,0,9,0,0,True,Tau
84570,9,6010,300,1719,True,15706,1.1163437366485596,1,4,3,0,1,2,3,0,0,2,0,0,True,Amyloid
6750,2,36,36,78,False,176,0.002537965774536133,1,5,0,0,1,4,0,0,0,1,0,0,True,Tau
10858,4,1090,300,5801,True,3824827,5.673743009567261,1,4,0,0,1,2,0,0,0,2,0,0,True,Tau
623,31,2969,300,4955,True,369665,1.0390849113464355,1,96,62,60,1,83,61,60,0,13,1,0,True,Amyloid
627,42,8051,300,2843,True,62485,1.6020629405975342,1,274,85,13,1,265,83,13,0,9,2,0,True,Both
642,130,13626,300,5805,True,451570,3.1870052814483643,1,29,87,108,1,39,95,116,0,-10,-8,-8,True,Amyloid
